Comprimento,Largura,X0,Y0,Xe,Ye,Distancia,Precisao,R.P.N.,R.P.A.,R.P.N.-R.P.A.,Preciso,Acuracia,R.A.N.,R.A.A.,R.A.N.-R.A.A.,Acurado
255,235,29.375,31.875,26.024,21.422,10.977,0.001,3,6,-3,Norm,63,0,0,0,Norm
105,131,32.75,52.5,58.407,36.974,29.989,0.01,4,6,-2,Norm,21,0,0,0,Norm
14,103,25.75,3.5,42.372,12.91,19.101,0.01,4,4,0,Igual,7,0,0,0,Igual
139,329,164.5,34.75,210.128,48.587,47.68,0.1,3,5,-2,Norm,5,0,0,0,Norm
297,458,57.25,37.125,368.796,31.397,311.599,0.01,5,10,-5,Norm,55,0,0,0,Norm
286,16,8.0,143.0,14.221,113.075,30.565,1,2,2,0,Igual,81,1,1,0,Igual
484,325,162.5,121.0,127.159,284.046,166.832,0.001,5,9,-4,Norm,78,1,1,0,Norm
467,429,53.625,233.5,38.933,310.359,78.251,1,2,3,-1,Norm,44,0,0,0,Norm
105,374,187.0,26.25,223.649,17.664,37.641,0.1,3,5,-2,Norm,23,0,0,0,Norm
59,163,81.5,14.75,25.262,48.207,65.438,0.001,6,8,-2,Norm,76,2,1,1,Arr
289,253,31.625,36.125,168.564,210.344,221.595,0.1,5,5,0,Igual,36,1,1,0,Igual
211,267,33.375,105.5,118.554,210.397,135.125,0.01,5,5,0,Igual,77,1,1,0,Igual
387,19,2.375,96.75,2.27,52.764,43.986,0.1,2,3,-1,Norm,58,0,0,0,Norm
213,449,112.25,53.25,206.59,159.865,142.361,0.001,4,5,-1,Norm,21,0,0,0,Norm
273,259,129.5,136.5,139.87,161.895,27.431,0.1,3,5,-2,Norm,8,0,0,0,Norm
480,116,29.0,60.0,108.52,408.739,357.69,0.1,4,9,-5,Norm,64,1,1,0,Norm
182,433,54.125,91.0,180.369,2.892,153.95,0.1,4,6,-2,Norm,9,0,0,0,Norm
424,454,227.0,106.0,259.105,51.125,63.577,0.1,3,5,-2,Norm,76,0,0,0,Norm
287,432,108.0,35.875,341.4,117.099,247.129,0.001,5,9,-4,Norm,18,0,0,0,Norm
107,352,88.0,53.5,179.915,56.291,91.957,0.001,4,9,-5,Norm,85,0,0,0,Norm
127,249,31.125,63.5,69.007,108.097,58.514,0.001,4,6,-2,Norm,79,1,1,0,Norm
